Breed,Breed Size,Sex,Age,Weight (lbs),Spay/Neuter Status,Daily Activity Level,Diet,Daily Walk Distance (miles),Medications,Seizures,Hours of Sleep,Play Time (hrs),Annual Vet Visits,Average Temperature (F),Healthy
Poodle,Small,Male,7.0,47.0,Neutered,Very Active,Wet food,4.0,Yes,No,12.0,1.0,1.0,45.0,Yes
Labrador Retriever,Large,Female,3.0,56.0,Spayed,Very Active,Special diet,1.0,No,No,12.0,1.0,3.0,85.0,Yes
Siberian Husky,Medium,Male,5.0,45.0,Spayed,Low,Hard food,3.0,Yes,No,14.0,1.0,1.0,41.0,Yes
Poodle,Small,Male,9.0,10.0,Neutered,Active,Wet food,3.0,No,No,13.0,2.0,2.0,88.0,Yes
German Shepherd,Large,Female,8.0,38.0,Spayed,Very Active,Wet food,4.0,No,No,12.0,1.0,0.0,76.0,Yes
Yorkshire Terrier,Small,Male,12.0,58.0,Spayed,Moderate,Hard food,1.0,Yes,No,12.0,2.0,0.0,62.0,No
German Shepherd,Large,Male,7.0,60.0,Spayed,Active,Special diet,1.0,No,No,12.0,2.0,1.0,37.0,Yes
Doberman,Large,Female,11.0,74.0,Neutered,Low,Home cooked,4.0,Yes,No,11.0,0.0,1.0,70.0,Yes
Great Dane,Large,Female,11.0,43.0,Spayed,Very Active,Special diet,3.0,Yes,No,12.0,3.0,0.0,65.0,Yes
Beagle,Small,Male,12.0,73.0,Neutered,Very Active,Hard food,1.0,Yes,No,10.0,1.0,2.0,40.0,Yes
Boxer,Medium,Male,4.0,61.0,Neutered,Active,Special diet,2.0,Yes,No,13.0,2.0,0.0,48.0,Yes
Boxer,Medium,Male,8.0,59.0,Spayed,Active,Special diet,2.0,No,No,12.0,2.0,1.0,49.0,Yes
Australian Shepherd,Medium,Male,11.0,32.0,Neutered,Active,Special diet,3.0,No,No,12.0,0.0,4.0,82.0,Yes
Australian Shepherd,Medium,Male,8.0,68.0,Spayed,Very Active,Special diet,4.0,Yes,No,8.0,3.0,0.0,57.0,Yes
Beagle,Small,Male,13.0,37.0,Spayed,Very Active,Wet food,3.0,No,No,12.0,2.0,2.0,44.0,Yes
German Shepherd,Large,Female,5.0,25.0,Spayed,Very Active,Home cooked,2.0,No,No,10.0,3.0,1.0,71.0,Yes
Great Dane,Large,Male,6.0,32.0,Spayed,Moderate,Special diet,2.0,Yes,No,11.0,0.0,1.0,55.0,Yes
Poodle,Small,Female,12.0,44.0,Neutered,Moderate,Special diet,2.0,No,No,11.0,0.0,0.0,62.0,Yes
Yorkshire Terrier,Small,Male,12.0,66.0,Neutered,Low,Wet food,0.0,No,No,14.0,1.0,2.0,72.0,Yes
Bulldog,Medium,Male,11.0,52.0,Neutered,Moderate,Home cooked,3.0,No,No,10.0,3.0,1.0,84.0,Yes
Rottweiler,Large,Male,9.0,40.0,Neutered,Very Active,Wet food,5.0,No,No,12.0,1.0,1.0,74.0,Yes
Great Dane,Large,Female,3.0,69.0,Spayed,Active,Home cooked,3.0,No,No,12.0,1.0,4.0,79.0,Yes
German Shepherd,Large,Male,6.0,49.0,Spayed,Very Active,Home cooked,5.0,No,No,10.0,1.0,3.0,63.0,Yes
Chihuahua,Small,Female,10.0,76.0,Spayed,Very Active,Home cooked,3.0,No,No,12.0,2.0,4.0,43.0,Yes
Rottweiler,Large,Female,7.0,39.0,Neutered,Low,Hard food,1.0,Yes,No,12.0,1.0,2.0,68.0,Yes
German Shepherd,Large,Male,11.0,53.0,Spayed,Very Active,Wet food,2.0,Yes,No,13.0,0.0,4.0,71.0,Yes
Chihuahua,Small,Female,1.0,44.0,Neutered,Low,Wet food,1.0,Yes,No,12.0,0.0,0.0,79.0,No
Dachshund,Small,Female,4.0,39.0,Neutered,Active,Hard food,2.0,Yes,No,12.0,2.0,1.0,65.0,Yes
Great Dane,Large,Female,10.0,36.0,Neutered,Active,Wet food,0.0,Yes,No,11.0,1.0,1.0,78.0,Yes
Beagle,Small,Female,5.0,58.0,Spayed,Very Active,Wet food,2.0,Yes,No,13.0,1.0,0.0,69.0,Yes
German Shepherd,Large,Female,1.0,48.0,Spayed,Low,Hard food,3.0,No,No,11.0,0.0,2.0,82.0,Yes
Golden Retriever,Large,Male,3.0,36.0,Neutered,Active,Home cooked,5.0,No,No,14.0,2.0,1.0,48.0,Yes
Rottweiler,Large,Female,4.0,66.0,Spayed,Active,Hard food,4.0,Yes,No,10.0,2.0,1.0,59.0,Yes
Dachshund,Small,Male,13.0,69.0,Neutered,Active,Hard food,2.0,No,No,13.0,2.0,1.0,53.0,Yes
Golden Retriever,Large,Male,3.0,71.0,Neutered,Active,Special diet,1.0,No,No,12.0,2.0,4.0,38.0,Yes
Yorkshire Terrier,Small,Female,12.0,31.0,Spayed,Moderate,Wet food,3.0,Yes,No,12.0,1.0,1.0,58.0,No
Rottweiler,Large,Female,1.0,34.0,Spayed,Low,Wet food,4.0,Yes,No,11.0,1.0,2.0,77.0,No
Dachshund,Small,Female,3.0,48.0,Spayed,Active,Home cooked,0.0,Yes,Yes,10.0,3.0,2.0,54.0,Yes
Chihuahua,Small,Male,4.0,36.0,Neutered,Very Active,Hard food,3.0,Yes,No,11.0,1.0,2.0,71.0,Yes
Chihuahua,Small,Female,13.0,38.0,Neutered,Very Active,Hard food,5.0,No,No,8.0,3.0,3.0,58.0,Yes
Poodle,Small,Female,7.0,77.0,Spayed,Active,Hard food,2.0,Yes,No,8.0,1.0,3.0,63.0,Yes
Boxer,Medium,Female,9.0,70.0,Spayed,Active,Hard food,6.0,No,Yes,9.0,1.0,1.0,51.0,Yes
Great Dane,Large,Male,3.0,52.0,Spayed,Low,Hard food,3.0,Yes,No,10.0,1.0,1.0,73.0,Yes
Australian Shepherd,Medium,Female,5.0,53.0,Neutered,Active,Hard food,4.0,Yes,No,12.0,1.0,1.0,57.0,Yes
Dachshund,Small,Female,12.0,74.0,Neutered,Active,Home cooked,1.0,No,No,11.0,1.0,2.0,60.0,Yes
Doberman,Large,Female,9.0,22.0,Neutered,Low,Hard food,1.0,No,No,12.0,1.0,3.0,66.0,No
Bulldog,Medium,Female,13.0,27.0,Spayed,Very Active,Hard food,1.0,No,No,10.0,1.0,0.0,52.0,Yes
Doberman,Large,Female,4.0,57.0,Spayed,Low,Special diet,5.0,No,No,10.0,0.0,1.0,65.0,Yes
Siberian Husky,Medium,Male,3.0,47.0,Spayed,Active,Hard food,6.0,No,No,12.0,0.0,0.0,48.0,Yes
Golden Retriever,Large,Male,6.0,45.0,Neutered,Moderate,Special diet,2.0,Yes,No,12.0,1.0,1.0,66.0,Yes
Great Dane,Large,Male,12.0,69.0,Spayed,Active,Home cooked,2.0,Yes,No,8.0,2.0,1.0,73.0,Yes
Beagle,Small,Male,8.0,34.0,Spayed,Very Active,Special diet,3.0,No,No,11.0,1.0,2.0,60.0,Yes
Australian Shepherd,Medium,Female,2.0,39.0,Neutered,Moderate,Hard food,2.0,Yes,No,11.0,1.0,0.0,82.0,No
Doberman,Large,Male,9.0,29.0,Neutered,Very Active,Wet food,3.0,Yes,No,12.0,2.0,1.0,45.0,Yes
Dachshund,Small,Female,5.0,59.0,Spayed,Low,Wet food,0.0,No,No,13.0,0.0,1.0,47.0,Yes
Labrador Retriever,Large,Female,4.0,34.0,Spayed,Active,Wet food,0.0,Yes,No,13.0,2.0,3.0,46.0,Yes
German Shepherd,Large,Female,11.0,35.0,Neutered,Low,Home cooked,5.0,Yes,No,13.0,1.0,2.0,63.0,Yes
Poodle,Small,Male,11.0,57.0,Neutered,Low,Hard food,3.0,No,No,12.0,3.0,1.0,71.0,Yes
Bulldog,Medium,Male,1.0,45.0,Neutered,Moderate,Special diet,2.0,No,No,11.0,2.0,0.0,82.0,Yes
Dachshund,Small,Male,4.0,56.0,Neutered,Active,Home cooked,5.0,No,Yes,11.0,1.0,2.0,83.0,Yes
Golden Retriever,Large,Male,12.0,61.0,Spayed,Active,Hard food,6.0,No,No,9.0,3.0,2.0,72.0,Yes
Chihuahua,Small,Female,2.0,41.0,Neutered,Moderate,Home cooked,1.0,Yes,No,12.0,0.0,1.0,58.0,Yes
Poodle,Small,Female,10.0,74.0,Spayed,Very Active,Home cooked,1.0,Yes,No,13.0,2.0,1.0,77.0,Yes
Poodle,Small,Female,8.0,41.0,Neutered,Moderate,Special diet,2.0,Yes,No,13.0,3.0,1.0,82.0,Yes
Doberman,Large,Female,8.0,63.0,Spayed,Very Active,Wet food,1.0,No,No,12.0,0.0,1.0,69.0,Yes
Bulldog,Medium,Male,4.0,65.0,Neutered,Active,Wet food,2.0,Yes,No,11.0,2.0,1.0,56.0,Yes
Yorkshire Terrier,Small,Female,9.0,34.0,Spayed,Active,Hard food,2.0,Yes,No,11.0,0.0,4.0,81.0,Yes
Rottweiler,Large,Female,6.0,45.0,Neutered,Low,Home cooked,3.0,No,No,13.0,0.0,0.0,36.0,Yes
Beagle,Small,Male,7.0,30.0,Neutered,Moderate,Special diet,2.0,No,No,13.0,1.0,2.0,66.0,Yes
Doberman,Large,Male,4.0,31.0,Spayed,Active,Special diet,0.0,Yes,No,10.0,1.0,0.0,61.0,Yes
German Shepherd,Large,Male,5.0,65.0,Neutered,Very Active,Hard food,3.0,No,No,8.0,2.0,2.0,63.0,Yes
Rottweiler,Large,Female,6.0,48.0,Neutered,Moderate,Home cooked,4.0,No,No,11.0,0.0,0.0,32.0,Yes
Boxer,Medium,Male,4.0,45.0,Spayed,Active,Special diet,2.0,Yes,No,11.0,1.0,1.0,85.0,Yes
Poodle,Small,Male,2.0,34.0,Spayed,Active,Home cooked,4.0,Yes,Yes,11.0,2.0,1.0,81.0,Yes
German Shepherd,Large,Male,12.0,61.0,Spayed,Low,Special diet,0.0,Yes,No,12.0,0.0,1.0,69.0,Yes
Labrador Retriever,Large,Male,10.0,49.0,Neutered,Active,Special diet,4.0,Yes,No,14.0,3.0,4.0,48.0,Yes
Siberian Husky,Medium,Female,5.0,39.0,Neutered,Active,Wet food,3.0,Yes,Yes,11.0,0.0,0.0,54.0,No
Australian Shepherd,Medium,Male,9.0,62.0,Neutered,Very Active,Home cooked,1.0,Yes,No,12.0,2.0,2.0,69.0,Yes
Doberman,Large,Male,8.0,22.0,Spayed,Very Active,Hard food,4.0,Yes,No,10.0,3.0,0.0,74.0,No
Doberman,Large,Male,1.0,65.0,Neutered,Moderate,Wet food,2.0,No,No,12.0,2.0,2.0,48.0,Yes
Rottweiler,Large,Male,2.0,65.0,Neutered,Moderate,Wet food,2.0,Yes,No,12.0,0.0,0.0,92.0,No
Boxer,Medium,Male,6.0,37.0,Neutered,Low,Wet food,4.0,Yes,Yes,10.0,0.0,2.0,97.0,No
Golden Retriever,Large,Male,13.0,56.0,Spayed,Moderate,Wet food,3.0,Yes,No,9.0,3.0,4.0,79.0,No
Dachshund,Small,Female,4.0,59.0,Spayed,Low,Wet food,2.0,Yes,No,11.0,2.0,2.0,65.0,Yes
Golden Retriever,Large,Male,6.0,64.0,Spayed,Active,Wet food,2.0,Yes,No,9.0,1.0,1.0,74.0,Yes
Golden Retriever,Large,Female,7.0,37.0,Spayed,Low,Wet food,0.0,No,No,12.0,0.0,1.0,68.0,Yes
Doberman,Large,Female,3.0,56.0,Spayed,Very Active,Wet food,1.0,No,No,12.0,3.0,1.0,44.0,Yes
German Shepherd,Large,Male,9.0,30.0,Spayed,Low,Home cooked,4.0,Yes,No,12.0,1.0,3.0,82.0,Yes
German Shepherd,Large,Female,4.0,58.0,Neutered,Moderate,Wet food,3.0,Yes,No,12.0,0.0,1.0,57.0,Yes
Beagle,Small,Male,6.0,55.0,Spayed,Low,Wet food,3.0,No,No,13.0,2.0,2.0,66.0,Yes
Bulldog,Medium,Female,7.0,63.0,Neutered,Moderate,Special diet,3.0,No,No,11.0,1.0,2.0,32.0,Yes
Rottweiler,Large,Female,7.0,31.0,Spayed,Moderate,Hard food,1.0,Yes,No,12.0,2.0,3.0,49.0,Yes
Chihuahua,Small,Female,13.0,38.0,Spayed,Low,Hard food,3.0,Yes,No,13.0,0.0,1.0,86.0,No
German Shepherd,Large,Male,13.0,54.0,Neutered,Moderate,Special diet,4.0,Yes,No,10.0,3.0,1.0,44.0,Yes
Yorkshire Terrier,Small,Female,7.0,44.0,Spayed,Moderate,Wet food,1.0,No,No,10.0,2.0,1.0,73.0,Yes
Beagle,Small,Male,7.0,62.0,Spayed,Very Active,Wet food,2.0,No,No,10.0,2.0,1.0,78.0,Yes
Beagle,Small,Male,5.0,38.0,Spayed,Active,Hard food,0.0,Yes,No,11.0,2.0,3.0,77.0,Yes
Chihuahua,Small,Male,9.0,31.0,Spayed,Moderate,Special diet,0.0,Yes,No,8.0,2.0,0.0,62.0,No
Australian Shepherd,Medium,Female,7.0,52.0,Neutered,Very Active,Hard food,4.0,Yes,No,11.0,1.0,1.0,75.0,Yes
Doberman,Large,Female,8.0,39.0,Neutered,Low,Wet food,2.0,Yes,No,11.0,1.0,2.0,64.0,Yes
Doberman,Large,Female,7.0,68.0,Spayed,Active,Special diet,2.0,No,No,12.0,3.0,2.0,49.0,Yes
Golden Retriever,Large,Female,12.0,37.0,Neutered,Moderate,Hard food,2.0,Yes,No,8.0,2.0,1.0,57.0,No
Poodle,Small,Male,11.0,62.0,Neutered,Very Active,Hard food,2.0,Yes,No,8.0,0.0,1.0,30.0,Yes
German Shepherd,Large,Female,10.0,48.0,Spayed,Active,Special diet,4.0,Yes,No,11.0,0.0,1.0,63.0,Yes
Beagle,Small,Female,13.0,62.0,Spayed,Moderate,Home cooked,1.0,No,No,10.0,1.0,3.0,73.0,Yes
Poodle,Small,Female,4.0,48.0,Spayed,Very Active,Special diet,1.0,No,No,12.0,3.0,2.0,73.0,Yes
Bulldog,Medium,Female,12.0,41.0,Neutered,Very Active,Hard food,2.0,Yes,No,11.0,0.0,0.0,53.0,No
Bulldog,Medium,Male,3.0,38.0,Neutered,Moderate,Wet food,1.0,Yes,No,9.0,4.0,1.0,30.0,Yes
Siberian Husky,Medium,Female,6.0,63.0,Neutered,Very Active,Home cooked,2.0,No,No,11.0,3.0,0.0,51.0,Yes
Chihuahua,Small,Male,13.0,64.0,Spayed,Active,Wet food,3.0,No,No,10.0,2.0,2.0,59.0,Yes
Beagle,Small,Male,5.0,49.0,Spayed,Very Active,Special diet,3.0,No,No,10.0,0.0,3.0,61.0,Yes
Rottweiler,Large,Female,9.0,56.0,Neutered,Moderate,Home cooked,1.0,No,No,10.0,0.0,3.0,46.0,Yes
Great Dane,Large,Male,6.0,55.0,Spayed,Very Active,Hard food,3.0,No,Yes,13.0,2.0,1.0,78.0,Yes
Dachshund,Small,Female,12.0,38.0,Spayed,Moderate,Home cooked,0.0,No,No,11.0,3.0,2.0,59.0,Yes
Bulldog,Medium,Male,7.0,69.0,Neutered,Active,Home cooked,2.0,No,No,11.0,0.0,0.0,93.0,Yes
Yorkshire Terrier,Small,Female,5.0,73.0,Neutered,Very Active,Home cooked,3.0,Yes,No,10.0,1.0,1.0,44.0,Yes
Golden Retriever,Large,Female,4.0,43.0,Neutered,Moderate,Special diet,2.0,No,No,11.0,1.0,0.0,58.0,Yes
Labrador Retriever,Large,Female,7.0,61.0,Spayed,Very Active,Special diet,1.0,Yes,No,13.0,3.0,3.0,30.0,Yes
Doberman,Large,Female,9.0,49.0,Spayed,Low,Wet food,0.0,No,No,11.0,2.0,2.0,69.0,Yes
Dachshund,Small,Male,2.0,46.0,Neutered,Low,Hard food,2.0,Yes,No,10.0,2.0,2.0,61.0,Yes
Yorkshire Terrier,Small,Female,11.0,57.0,Spayed,Low,Special diet,2.0,No,No,10.0,2.0,0.0,85.0,Yes
German Shepherd,Large,Male,2.0,23.0,Spayed,Active,Special diet,3.0,Yes,No,13.0,1.0,4.0,74.0,Yes
German Shepherd,Large,Male,12.0,35.0,Spayed,Low,Wet food,3.0,Yes,No,10.0,0.0,0.0,73.0,No
Australian Shepherd,Medium,Female,2.0,83.0,Neutered,Moderate,Hard food,3.0,No,No,12.0,1.0,1.0,56.0,Yes
Golden Retriever,Large,Female,2.0,50.0,Neutered,Active,Home cooked,3.0,No,No,12.0,2.0,1.0,54.0,Yes
Dachshund,Small,Female,13.0,60.0,Neutered,Active,Wet food,4.0,No,No,11.0,2.0,2.0,75.0,Yes
Dachshund,Small,Male,12.0,44.0,Neutered,Moderate,Hard food,4.0,No,No,14.0,2.0,1.0,74.0,Yes
Poodle,Small,Male,11.0,11.0,Neutered,Low,Hard food,2.0,Yes,No,9.0,1.0,0.0,68.0,No
Doberman,Large,Female,5.0,69.0,Neutered,Moderate,Hard food,2.0,Yes,No,12.0,1.0,2.0,92.0,Yes
Doberman,Large,Female,9.0,85.0,Neutered,Active,Hard food,1.0,No,No,13.0,0.0,2.0,76.0,Yes
Great Dane,Large,Male,5.0,69.0,Spayed,Very Active,Home cooked,3.0,No,No,11.0,2.0,2.0,84.0,Yes
Chihuahua,Small,Female,13.0,52.0,Spayed,Active,Wet food,1.0,Yes,No,10.0,0.0,3.0,72.0,Yes
German Shepherd,Large,Male,10.0,22.0,Spayed,Low,Wet food,4.0,No,No,13.0,3.0,0.0,54.0,No
Poodle,Small,Male,12.0,52.0,Neutered,Active,Home cooked,2.0,Yes,No,9.0,0.0,1.0,46.0,Yes
Bulldog,Medium,Female,2.0,44.0,Neutered,Active,Hard food,4.0,Yes,No,13.0,3.0,1.0,52.0,Yes
Poodle,Small,Female,4.0,52.0,Neutered,Moderate,Special diet,3.0,Yes,No,11.0,1.0,1.0,86.0,Yes
Poodle,Small,Female,4.0,45.0,Spayed,Low,Wet food,0.0,No,No,10.0,1.0,0.0,55.0,Yes
Australian Shepherd,Medium,Female,7.0,55.0,Neutered,Low,Hard food,1.0,Yes,No,12.0,1.0,1.0,50.0,Yes
Rottweiler,Large,Male,9.0,50.0,Spayed,Low,Wet food,1.0,Yes,No,8.0,2.0,3.0,79.0,No
Labrador Retriever,Large,Female,3.0,66.0,Spayed,Very Active,Special diet,2.0,Yes,No,12.0,3.0,1.0,39.0,Yes
Rottweiler,Large,Female,12.0,45.0,Neutered,Low,Hard food,3.0,Yes,No,8.0,0.0,1.0,100.0,No
Poodle,Small,Male,2.0,85.0,Spayed,Moderate,Hard food,2.0,Yes,No,10.0,0.0,2.0,75.0,No
Australian Shepherd,Medium,Female,7.0,69.0,Neutered,Very Active,Wet food,3.0,Yes,No,10.0,2.0,2.0,52.0,Yes
Rottweiler,Large,Female,4.0,46.0,Spayed,Very Active,Home cooked,4.0,No,No,13.0,2.0,0.0,75.0,Yes
Labrador Retriever,Large,Male,1.0,76.0,Spayed,Moderate,Home cooked,4.0,Yes,No,11.0,2.0,2.0,59.0,Yes
Yorkshire Terrier,Small,Male,7.0,50.0,Spayed,Moderate,Hard food,2.0,No,No,11.0,0.0,2.0,73.0,Yes
Australian Shepherd,Medium,Female,5.0,50.0,Neutered,Active,Home cooked,3.0,Yes,No,11.0,1.0,2.0,59.0,Yes
Boxer,Medium,Female,8.0,46.0,Neutered,Active,Hard food,3.0,Yes,No,12.0,2.0,4.0,59.0,Yes
Poodle,Small,Female,3.0,59.0,Spayed,Low,Special diet,3.0,No,No,11.0,1.0,4.0,62.0,Yes
Labrador Retriever,Large,Male,12.0,33.0,Neutered,Low,Wet food,4.0,No,No,11.0,1.0,0.0,58.0,No
Boxer,Medium,Female,3.0,47.0,Neutered,Low,Special diet,3.0,No,No,11.0,2.0,2.0,35.0,Yes
German Shepherd,Large,Female,6.0,64.0,Spayed,Active,Special diet,1.0,Yes,No,12.0,2.0,1.0,52.0,Yes
Golden Retriever,Large,Male,11.0,51.0,Spayed,Active,Wet food,1.0,Yes,No,10.0,2.0,1.0,87.0,Yes
Australian Shepherd,Medium,Male,9.0,56.0,Spayed,Very Active,Home cooked,2.0,No,No,11.0,0.0,0.0,40.0,Yes
Yorkshire Terrier,Small,Male,3.0,28.0,Spayed,Very Active,Wet food,0.0,Yes,No,9.0,3.0,2.0,72.0,Yes
Chihuahua,Small,Male,5.0,59.0,Neutered,Very Active,Wet food,4.0,Yes,No,10.0,3.0,0.0,66.0,Yes
Bulldog,Medium,Male,13.0,83.0,Neutered,Low,Home cooked,3.0,No,No,11.0,2.0,2.0,78.0,Yes
Dachshund,Small,Male,6.0,61.0,Spayed,Very Active,Wet food,1.0,No,No,10.0,1.0,0.0,80.0,Yes
Chihuahua,Small,Male,13.0,32.0,Spayed,Moderate,Home cooked,6.0,No,No,12.0,1.0,2.0,53.0,Yes
German Shepherd,Large,Male,10.0,37.0,Spayed,Very Active,Wet food,3.0,Yes,No,9.0,2.0,2.0,66.0,Yes
Poodle,Small,Male,12.0,65.0,Spayed,Very Active,Wet food,4.0,Yes,No,10.0,0.0,0.0,72.0,No
Great Dane,Large,Female,9.0,80.0,Spayed,Very Active,Hard food,3.0,Yes,No,12.0,2.0,2.0,91.0,Yes
Boxer,Medium,Male,9.0,51.0,Spayed,Moderate,Special diet,3.0,Yes,No,11.0,1.0,1.0,78.0,Yes
Golden Retriever,Large,Male,12.0,48.0,Neutered,Very Active,Home cooked,5.0,No,No,11.0,1.0,0.0,56.0,Yes
Golden Retriever,Large,Male,2.0,72.0,Spayed,Active,Home cooked,4.0,Yes,No,12.0,4.0,1.0,50.0,Yes
German Shepherd,Large,Male,7.0,67.0,Spayed,Very Active,Wet food,1.0,No,No,11.0,1.0,4.0,38.0,Yes
Boxer,Medium,Male,10.0,51.0,Spayed,Very Active,Special diet,3.0,Yes,No,13.0,0.0,1.0,37.0,Yes
Chihuahua,Small,Female,1.0,46.0,Neutered,Active,Home cooked,3.0,Yes,No,14.0,1.0,1.0,50.0,Yes
Dachshund,Small,Female,4.0,49.0,Spayed,Active,Special diet,2.0,No,No,12.0,2.0,2.0,56.0,Yes
Australian Shepherd,Medium,Male,13.0,75.0,Spayed,Low,Home cooked,1.0,Yes,No,9.0,1.0,3.0,72.0,Yes
Labrador Retriever,Large,Female,11.0,51.0,Spayed,Very Active,Special diet,3.0,No,Yes,14.0,2.0,0.0,66.0,Yes
Rottweiler,Large,Male,13.0,43.0,Neutered,Moderate,Special diet,3.0,Yes,No,10.0,3.0,4.0,71.0,Yes
Beagle,Small,Male,10.0,34.0,Neutered,Moderate,Hard food,5.0,No,No,11.0,0.0,3.0,87.0,Yes
Golden Retriever,Large,Female,1.0,51.0,Neutered,Very Active,Home cooked,0.0,Yes,No,12.0,2.0,1.0,84.0,Yes
Poodle,Small,Female,3.0,17.0,Spayed,Very Active,Home cooked,1.0,Yes,No,11.0,0.0,1.0,67.0,Yes
Golden Retriever,Large,Male,9.0,46.0,Spayed,Low,Hard food,1.0,No,Yes,11.0,2.0,1.0,76.0,No
Bulldog,Medium,Female,2.0,78.0,Neutered,Very Active,Special diet,2.0,No,No,9.0,2.0,2.0,63.0,Yes
Yorkshire Terrier,Small,Female,5.0,51.0,Neutered,Active,Hard food,5.0,Yes,No,9.0,1.0,0.0,30.0,Yes
Bulldog,Medium,Female,3.0,50.0,Spayed,Low,Hard food,3.0,Yes,Yes,9.0,3.0,1.0,70.0,No
Australian Shepherd,Medium,Female,2.0,36.0,Neutered,Moderate,Hard food,2.0,No,No,11.0,1.0,1.0,63.0,Yes
Doberman,Large,Female,12.0,46.0,Spayed,Active,Wet food,2.0,Yes,No,12.0,1.0,1.0,75.0,Yes
Golden Retriever,Large,Male,5.0,39.0,Neutered,Very Active,Hard food,3.0,No,No,11.0,1.0,0.0,67.0,Yes
Great Dane,Large,Male,10.0,64.0,Neutered,Very Active,Hard food,1.0,Yes,No,11.0,2.0,3.0,90.0,Yes
Rottweiler,Large,Male,7.0,78.0,Neutered,Active,Home cooked,1.0,Yes,No,11.0,3.0,0.0,63.0,Yes
Dachshund,Small,Male,6.0,55.0,Spayed,Moderate,Home cooked,4.0,No,No,11.0,2.0,1.0,95.0,Yes
Yorkshire Terrier,Small,Female,12.0,46.0,Neutered,Low,Hard food,2.0,Yes,No,10.0,1.0,4.0,57.0,No
Beagle,Small,Male,7.0,32.0,Neutered,Very Active,Home cooked,4.0,No,Yes,12.0,2.0,3.0,78.0,Yes
Beagle,Small,Female,2.0,38.0,Spayed,Moderate,Home cooked,2.0,Yes,No,12.0,2.0,0.0,70.0,Yes
Golden Retriever,Large,Male,6.0,63.0,Neutered,Moderate,Wet food,4.0,Yes,No,11.0,2.0,0.0,82.0,No
Siberian Husky,Medium,Male,3.0,35.0,Spayed,Moderate,Hard food,5.0,Yes,No,10.0,0.0,1.0,67.0,Yes
Bulldog,Medium,Female,5.0,44.0,Neutered,Active,Special diet,3.0,No,No,14.0,1.0,4.0,78.0,Yes
Poodle,Small,Male,11.0,75.0,Spayed,Moderate,Wet food,2.0,Yes,No,12.0,2.0,1.0,59.0,No
Dachshund,Small,Female,8.0,43.0,Neutered,Very Active,Special diet,0.0,Yes,No,13.0,0.0,2.0,86.0,Yes
Poodle,Small,Male,11.0,30.0,Spayed,Active,Home cooked,4.0,Yes,No,10.0,2.0,1.0,56.0,Yes
Labrador Retriever,Large,Female,3.0,47.0,Neutered,Moderate,Wet food,1.0,No,No,10.0,4.0,2.0,42.0,Yes
Great Dane,Large,Female,3.0,40.0,Neutered,Very Active,Special diet,5.0,No,No,11.0,1.0,1.0,70.0,Yes
Australian Shepherd,Medium,Female,9.0,22.0,Spayed,Moderate,Hard food,4.0,No,No,11.0,2.0,1.0,63.0,No
Poodle,Small,Female,8.0,33.0,Spayed,Moderate,Hard food,3.0,Yes,No,10.0,1.0,1.0,73.0,Yes
Labrador Retriever,Large,Female,8.0,35.0,Neutered,Moderate,Wet food,3.0,No,No,11.0,1.0,1.0,35.0,Yes
Poodle,Small,Female,13.0,53.0,Neutered,Very Active,Hard food,3.0,No,No,8.0,2.0,1.0,74.0,Yes
Beagle,Small,Male,10.0,35.0,Spayed,Low,Home cooked,1.0,Yes,No,12.0,1.0,2.0,75.0,Yes
Rottweiler,Large,Female,3.0,57.0,Spayed,Low,Special diet,4.0,No,No,12.0,1.0,3.0,60.0,Yes
Dachshund,Small,Male,5.0,51.0,Neutered,Active,Hard food,0.0,Yes,No,11.0,2.0,1.0,81.0,Yes
Dachshund,Small,Male,1.0,33.0,Spayed,Low,Wet food,2.0,No,No,14.0,1.0,0.0,76.0,No
Rottweiler,Large,Male,5.0,63.0,Spayed,Very Active,Home cooked,4.0,No,No,11.0,2.0,1.0,56.0,Yes
German Shepherd,Large,Female,10.0,53.0,Spayed,Active,Home cooked,5.0,Yes,No,12.0,2.0,0.0,74.0,Yes
Doberman,Large,Male,1.0,47.0,Neutered,Very Active,Hard food,3.0,No,No,14.0,2.0,0.0,69.0,Yes
Golden Retriever,Large,Male,6.0,19.0,Neutered,Low,Wet food,3.0,Yes,No,12.0,0.0,0.0,50.0,No
Doberman,Large,Female,9.0,48.0,Neutered,Moderate,Hard food,1.0,Yes,No,12.0,4.0,1.0,59.0,No
Chihuahua,Small,Male,3.0,55.0,Spayed,Low,Wet food,0.0,No,No,12.0,1.0,0.0,58.0,Yes
Bulldog,Medium,Male,7.0,25.0,Spayed,Very Active,Wet food,3.0,No,No,12.0,2.0,0.0,65.0,Yes
Doberman,Large,Male,8.0,51.0,Neutered,Very Active,Home cooked,3.0,Yes,No,11.0,3.0,2.0,52.0,Yes
Australian Shepherd,Medium,Male,11.0,60.0,Neutered,Low,Wet food,0.0,Yes,No,10.0,3.0,0.0,59.0,No
Rottweiler,Large,Male,5.0,36.0,Neutered,Low,Hard food,4.0,No,No,11.0,2.0,0.0,71.0,Yes
Yorkshire Terrier,Small,Male,5.0,55.0,Neutered,Active,Special diet,2.0,No,No,10.0,1.0,1.0,48.0,Yes
Doberman,Large,Male,10.0,51.0,Neutered,Low,Special diet,3.0,Yes,No,12.0,3.0,0.0,80.0,No
